Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Team
Adam Smith, ENG,DF,33-143,4,2,155.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches,Bournemouth
Alex Scott, ENG,MF,21-029,4,1,137.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,Matches,Bournemouth
Luis Sinisterra, COL,FW,25-094,4,1,129.0,1.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.7,0.7,0.3,1.0,7.0,3.0,12.0,0.7,0.7,1.4,0.7,1.4,0.45,0.21,0.67,0.45,0.67,Matches,Bournemouth
Dango Ouattara, BFA,"FW,DF",22-221,3,1,112.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.3,6.0,0.0,11.0,0.0,0.8,0.8,0.0,0.8,0.28,0.78,1.06,0.28,1.06,Matches,Bournemouth
Dean Huijsen, ESP,DF,19-158,2,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Bournemouth
Kepa Arrizabalaga, ESP,GK,29-352,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Mark Travers, IRL,GK,25-124,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Daniel Jebbison, ENG,FW,21-037,2,0,28.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,Bournemouth
Philip Billing, DEN,MF,28-100,2,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth
Enes Ünal, TUR,FW,27-132,1,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.93,0.55,1.48,0.93,1.48,Matches,Bournemouth
Max Aarons, ENG,DF,24-259,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Jaidon Anthony, ENG,"FW,MF",24-293,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
David Brooks, WAL,"FW,MF",27-073,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Will Dennis, ENG,GK,24-071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
James Hill, ENG,DF,22-253,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Hamed Junior Traorè, CIV,"FW,MF",24-216,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth
Nathan Collins, IRL,DF,23-142,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.0,0.6,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches,Brentford
Mark Flekken, NED,GK,31-098,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford
Christian Nørgaard, DEN,MF,30-193,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,3.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.12,0.05,0.17,0.12,0.17,Matches,Brentford
Ethan Pinnock, JAM,DF,31-113,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Brentford
Bryan Mbeumo, CMR,FW,25-043,4,4,359.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,1.1,1.1,1.3,2.4,16.0,11.0,31.0,0.75,0.0,0.75,0.75,0.75,0.28,0.32,0.6,0.28,0.6,Matches,Brentford
Vitaly Janelt, GER,"MF,DF",26-132,4,4,290.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,1.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Brentford
Kristoffer Ajer, NOR,DF,26-155,4,4,289.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.09,0.09,0.09,Matches,Brentford
Yoane Wissa, COD,FW,28-016,4,4,289.0,3.2,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,2.4,2.4,0.3,2.8,6.0,7.0,11.0,0.93,0.31,1.25,0.93,1.25,0.76,0.1,0.86,0.76,0.86,Matches,Brentford
Mathias Jensen, DEN,MF,28-262,3,3,238.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.7,0.8,1.0,12.0,11.0,0.0,0.38,0.38,0.0,0.38,0.04,0.28,0.32,0.04,0.32,Matches,Brentford
